Generation,Island,Fitness
0,0,79
1,0,76
2,0,60
3,0,60
4,0,60
5,0,50
6,0,50
7,0,50
8,0,47
9,0,47
10,0,47
11,0,47
12,0,47
13,0,47
14,0,47
15,0,47
16,0,47
17,0,47
18,0,47
19,0,47
20,0,47
21,0,47
22,0,47
23,0,47
24,0,47
25,0,47
26,0,47
27,0,47
28,0,47
29,0,47
30,0,47
31,0,47
32,0,47
33,0,47
34,0,47
35,0,47
36,0,47
37,0,47
38,0,47
39,0,47
40,0,47
41,0,47
42,0,47
43,0,47
44,0,47
45,0,47
46,0,47
47,0,47
48,0,47
49,0,47
50,0,47
51,0,47
52,0,47
53,0,47
54,0,47
55,0,47
56,0,47
57,0,47
58,0,47
59,0,47
60,0,47
61,0,47
62,0,47
63,0,47
64,0,47
65,0,47
66,0,47
67,0,47
68,0,47
69,0,47
70,0,47
71,0,47
72,0,47
73,0,47
74,0,47
75,0,47
76,0,47
77,0,47
78,0,47
79,0,47
80,0,47
81,0,10
82,0,10
83,0,10
84,0,10
85,0,10
86,0,10
87,0,10
88,0,10
89,0,10
90,0,10
91,0,10
92,0,10
93,0,10
94,0,10
95,0,10
96,0,10
97,0,10
98,0,10
99,0,10
0,1,52
1,1,52
2,1,35
3,1,31
4,1,31
5,1,31
6,1,31
7,1,31
8,1,31
9,1,31
10,1,31
11,1,31
12,1,31
13,1,31
14,1,31
15,1,31
16,1,31
17,1,31
18,1,31
19,1,31
20,1,31
21,1,31
22,1,31
23,1,31
24,1,31
25,1,31
26,1,31
27,1,31
28,1,31
29,1,31
30,1,31
31,1,31
32,1,31
33,1,31
34,1,31
35,1,31
36,1,31
37,1,31
38,1,31
39,1,31
40,1,31
41,1,31
42,1,31
43,1,31
44,1,31
45,1,31
46,1,31
47,1,31
48,1,31
49,1,31
50,1,31
51,1,31
52,1,31
53,1,31
54,1,31
55,1,31
56,1,31
57,1,31
58,1,31
59,1,31
60,1,31
61,1,31
62,1,31
63,1,31
64,1,31
65,1,31
66,1,31
67,1,31
68,1,31
69,1,31
70,1,31
71,1,31
72,1,31
73,1,31
74,1,31
75,1,31
76,1,31
77,1,31
78,1,31
79,1,31
80,1,31
81,1,31
82,1,31
83,1,31
84,1,31
85,1,31
86,1,31
87,1,31
88,1,31
89,1,31
90,1,31
91,1,31
92,1,31
93,1,31
94,1,31
95,1,31
96,1,31
97,1,31
98,1,31
99,1,31
0,2,11
1,2,11
2,2,11
3,2,11
4,2,11
5,2,11
6,2,11
7,2,11
8,2,11
9,2,11
10,2,11
11,2,11
12,2,11
13,2,11
14,2,11
15,2,11
16,2,11
17,2,11
18,2,11
19,2,11
20,2,11
21,2,11
22,2,11
23,2,11
24,2,11
25,2,11
26,2,11
27,2,11
28,2,11
29,2,11
30,2,11
31,2,11
32,2,11
33,2,11
34,2,11
35,2,11
36,2,11
37,2,11
38,2,11
39,2,11
40,2,11
41,2,11
42,2,11
43,2,11
44,2,11
45,2,11
46,2,11
47,2,11
48,2,11
49,2,11
50,2,11
51,2,11
52,2,11
53,2,11
54,2,11
55,2,11
56,2,11
57,2,11
58,2,11
59,2,11
60,2,11
61,2,11
62,2,11
63,2,11
64,2,11
65,2,11
66,2,11
67,2,11
68,2,11
69,2,11
70,2,11
71,2,11
72,2,11
73,2,11
74,2,11
75,2,11
76,2,11
77,2,11
78,2,11
79,2,11
80,2,11
81,2,11
82,2,11
83,2,11
84,2,11
85,2,11
86,2,11
87,2,11
88,2,11
89,2,11
90,2,11
91,2,11
92,2,11
93,2,11
94,2,11
95,2,11
96,2,11
97,2,11
98,2,11
99,2,11
0,3,260
1,3,260
2,3,260
3,3,260
4,3,260
5,3,260
6,3,260
7,3,260
8,3,260
9,3,260
10,3,260
11,3,260
12,3,249
13,3,249
14,3,249
15,3,249
16,3,249
17,3,249
18,3,249
19,3,249
20,3,249
21,3,10
22,3,10
23,3,10
24,3,10
25,3,10
26,3,10
27,3,10
28,3,10
29,3,10
30,3,10
31,3,10
32,3,10
33,3,10
34,3,10
35,3,10
36,3,10
37,3,10
38,3,10
39,3,10
40,3,10
41,3,10
42,3,10
43,3,10
44,3,10
45,3,10
46,3,10
47,3,10
48,3,10
49,3,10
50,3,10
51,3,10
52,3,10
53,3,10
54,3,10
55,3,10
56,3,10
57,3,10
58,3,10
59,3,10
60,3,10
61,3,10
62,3,10
63,3,10
64,3,10
65,3,10
66,3,10
67,3,10
68,3,10
69,3,10
70,3,10
71,3,10
72,3,10
73,3,10
74,3,10
75,3,10
76,3,10
77,3,10
78,3,10
79,3,10
80,3,10
81,3,10
82,3,10
83,3,10
84,3,10
85,3,10
86,3,10
87,3,10
88,3,10
89,3,10
90,3,10
91,3,10
92,3,10
93,3,10
94,3,10
95,3,10
96,3,10
97,3,10
98,3,10
99,3,10
0,4,93
1,4,83
2,4,80
3,4,69
4,4,64
5,4,64
6,4,62
7,4,62
8,4,62
9,4,62
10,4,62
11,4,62
12,4,62
13,4,62
14,4,62
15,4,62
16,4,62
17,4,62
18,4,62
19,4,62
20,4,62
21,4,62
22,4,62
23,4,62
24,4,62
25,4,62
26,4,62
27,4,62
28,4,62
29,4,62
30,4,59
31,4,59
32,4,55
33,4,55
34,4,55
35,4,55
36,4,55
37,4,55
38,4,55
39,4,55
40,4,55
41,4,10
42,4,10
43,4,10
44,4,10
45,4,10
46,4,10
47,4,10
48,4,10
49,4,10
50,4,10
51,4,10
52,4,10
53,4,10
54,4,10
55,4,10
56,4,10
57,4,10
58,4,10
59,4,10
60,4,10
61,4,10
62,4,10
63,4,10
64,4,10
65,4,10
66,4,10
67,4,10
68,4,10
69,4,10
70,4,10
71,4,10
72,4,10
73,4,10
74,4,10
75,4,10
76,4,10
77,4,10
78,4,10
79,4,10
80,4,10
81,4,10
82,4,10
83,4,10
84,4,10
85,4,10
86,4,10
87,4,10
88,4,10
89,4,10
90,4,10
91,4,10
92,4,10
93,4,10
94,4,10
95,4,10
96,4,10
97,4,10
98,4,10
99,4,10
0,5,160
1,5,160
2,5,160
3,5,160
4,5,160
5,5,160
6,5,160
7,5,160
8,5,156
9,5,156
10,5,156
11,5,156
12,5,156
13,5,156
14,5,156
15,5,156
16,5,156
17,5,156
18,5,156
19,5,156
20,5,156
21,5,62
22,5,62
23,5,58
24,5,58
25,5,58
26,5,58
27,5,58
28,5,58
29,5,58
30,5,58
31,5,58
32,5,58
33,5,58
34,5,58
35,5,58
36,5,58
37,5,58
38,5,58
39,5,58
40,5,58
41,5,51
42,5,51
43,5,51
44,5,51
45,5,51
46,5,51
47,5,51
48,5,51
49,5,51
50,5,51
51,5,51
52,5,51
53,5,51
54,5,51
55,5,51
56,5,51
57,5,51
58,5,51
59,5,51
60,5,51
61,5,10
62,5,10
63,5,10
64,5,10
65,5,10
66,5,10
67,5,10
68,5,10
69,5,10
70,5,10
71,5,10
72,5,10
73,5,10
74,5,10
75,5,10
76,5,10
77,5,10
78,5,10
79,5,10
80,5,10
81,5,10
82,5,10
83,5,10
84,5,10
85,5,10
86,5,10
87,5,10
88,5,10
89,5,10
90,5,10
91,5,10
92,5,10
93,5,10
94,5,10
95,5,10
96,5,10
97,5,10
98,5,10
99,5,10
